timestamp,value,date
2025-06-08 07:44:00,96.7,2025-06-08
2025-06-08 04:14:00,47.7,2025-06-08
2025-06-08 12:54:00,37.0,2025-06-08
2025-06-08 19:29:00,33.0,2025-06-08
2025-06-08 13:06:00,28.4,2025-06-08
2025-06-08 23:10:00,19.7,2025-06-08
2025-06-08 09:09:00,11.5,2025-06-08
2025-06-08 23:55:00,87.7,2025-06-08
2025-06-08 20:33:00,47.9,2025-06-08
2025-06-08 22:40:00,41.7,2025-06-08
2025-06-08 14:41:00,97.9,2025-06-08
2025-06-08 16:47:00,36.0,2025-06-08
2025-06-08 12:20:00,50.1,2025-06-08
2025-06-08 03:15:00,32.1,2025-06-08
2025-06-08 08:01:00,58.5,2025-06-08
2025-06-08 16:17:00,22.0,2025-06-08
2025-06-08 07:22:00,79.7,2025-06-08
2025-06-08 21:51:00,74.0,2025-06-08
2025-06-08 23:51:00,24.0,2025-06-08
2025-06-08 22:35:00,82.3,2025-06-08
2025-06-08 06:01:00,81.2,2025-06-08
2025-06-08 21:29:00,77.1,2025-06-08
2025-06-08 17:02:00,48.7,2025-06-08
2025-06-08 07:03:00,42.5,2025-06-08
2025-06-08 08:47:00,59.8,2025-06-08
2025-06-08 11:38:00,0.2,2025-06-08
2025-06-08 08:51:00,55.8,2025-06-08
2025-06-08 22:24:00,25.2,2025-06-08
2025-06-08 21:55:00,30.9,2025-06-08
2025-06-08 12:07:00,53.3,2025-06-08
2025-06-08 11:32:00,53.8,2025-06-08
2025-06-08 05:39:00,45.9,2025-06-08
2025-06-08 21:50:00,68.3,2025-06-08
2025-06-08 18:41:00,50.6,2025-06-08
2025-06-08 23:25:00,6.2,2025-06-08
2025-06-08 07:10:00,44.9,2025-06-08
2025-06-08 20:41:00,72.2,2025-06-08
2025-06-08 15:31:00,12.0,2025-06-08
2025-06-08 23:09:00,93.3,2025-06-08
2025-06-08 09:01:00,86.0,2025-06-08
2025-06-08 03:33:00,81.9,2025-06-08
2025-06-08 19:12:00,76.5,2025-06-08
2025-06-08 18:36:00,50.2,2025-06-08
2025-06-08 08:05:00,24.8,2025-06-08
2025-06-08 05:50:00,65.3,2025-06-08
2025-06-08 03:54:00,56.1,2025-06-08
2025-06-08 08:53:00,8.4,2025-06-08
2025-06-08 13:55:00,26.9,2025-06-08
2025-06-08 13:35:00,82.4,2025-06-08
2025-06-08 10:27:00,8.5,2025-06-08
2025-06-08 05:24:00,55.9,2025-06-08
2025-06-08 18:37:00,1.6,2025-06-08
2025-06-08 13:27:00,37.6,2025-06-08
